symbol,expiryDate,strikePrice,underlying,CE_OI,CE_CHGOI,CE_IV,CE_LTP,CE_BIDQTY,CE_BID,CE_ASK,CE_ASKQTY,PE_OI,PE_CHGOI,PE_IV,PE_LTP,PE_BIDQTY,PE_BID,PE_ASK,PE_ASKQTY
NIFTY,02-Dec-2025,23750,26299.65,11,0,0,0,75,2564.8,2587,75,46194,5034,34.36,1.5,21975,1.5,1.55,96975
NIFTY,02-Dec-2025,23800,26299.65,13,0,0,0,75,2517,2533.05,300,37508,4980,33.85,1.6,91125,1.55,1.6,14475
NIFTY,02-Dec-2025,23850,26299.65,1,0,0,0,75,2467.55,2519.55,750,1569,291,33.54,1.75,11700,1.75,1.8,31650
NIFTY,02-Dec-2025,23900,26299.65,14,0,0,0,75,2373.2,2424.95,75,3275,-77,33.11,1.8,11400,1.8,1.85,35025
NIFTY,02-Dec-2025,23950,26299.65,2,0,0,0,75,2366.3,2418.7,825,903,16,32.48,1.9,525,1.85,1.95,4200
NIFTY,02-Dec-2025,24000,26299.65,1018,-149,0,2321.95,75,2317.5,2325.2,75,42246,-3692,32.21,1.95,83550,1.95,2,37050
NIFTY,02-Dec-2025,24050,26299.65,2,0,0,0,75,2268,2284.1,75,1851,168,31.48,2,8625,2,2.05,30600
NIFTY,02-Dec-2025,24100,26299.65,4,0,0,0,75,2216.85,2224.5,75,3900,709,31.02,2.15,51750,2.05,2.1,21900
NIFTY,02-Dec-2025,24150,26299.65,4,0,0,0,75,2161.2,2181.05,225,2036,442,30.37,2.1,35100,2.05,2.15,27975
NIFTY,02-Dec-2025,24200,26299.65,3,0,0,0,75,2116.4,2125.75,75,8276,803,29.97,2.2,52350,2.2,2.25,57300
NIFTY,02-Dec-2025,24250,26299.65,12,-1,0,2078.45,75,2069.75,2076.7,75,1013,339,29.4,2.3,20700,2.25,2.3,17025
NIFTY,02-Dec-2025,24300,26299.65,20,0,0,0,75,2017.85,2025.8,150,7099,594,28.75,2.35,59325,2.3,2.35,62475
NIFTY,02-Dec-2025,24350,26299.65,10,0,0,0,75,1959.55,1978.7,75,1402,-163,28.25,2.4,26625,2.35,2.4,11700
NIFTY,02-Dec-2025,24400,26299.65,62,2,0,1930,75,1914.2,1925.1,75,6773,516,27.6,2.4,14175,2.4,2.45,43425
NIFTY,02-Dec-2025,24450,26299.65,19,0,0,0,375,1865.9,1878.7,75,1652,126,27.15,2.55,10500,2.5,2.55,15075
NIFTY,02-Dec-2025,24500,26299.65,274,0,0,1809.45,75,1819.05,1826.35,75,67373,-2692,26.49,2.5,122475,2.5,2.55,35175
NIFTY,02-Dec-2025,24550,26299.65,6,0,0,0,75,1763.8,1775.85,75,4640,1482,25.96,2.6,46200,2.6,2.65,48150
NIFTY,02-Dec-2025,24600,26299.65,80,-1,0,1706.8,75,1719.4,1725.35,75,24692,-881,25.42,2.7,17175,2.7,2.75,60525
NIFTY,02-Dec-2025,24650,26299.65,12,0,0,0,75,1663.15,1678.4,75,5413,-756,24.82,2.8,43575,2.75,2.8,54000
NIFTY,02-Dec-2025,24700,26299.65,71,0,24.51,1640.3,75,1614.7,1625.7,75,31234,-3238,24.32,2.8,79950,2.8,2.9,100725
NIFTY,02-Dec-2025,24750,26299.65,3,0,0,0,75,1562.15,1581.7,75,6187,-811,23.75,3,53250,2.95,3,38775
NIFTY,02-Dec-2025,24800,26299.65,200,-1,0,1523.7,75,1519.95,1525.45,75,38429,-3318,23.13,3.05,6975,3.05,3.1,16200
NIFTY,02-Dec-2025,24850,26299.65,3,0,0,1481.15,75,1471.8,1478.8,75,4471,-485,22.65,3.25,8550,3.2,3.25,7350
NIFTY,02-Dec-2025,24900,26299.65,105,-1,21.24,1440,75,1416.95,1427.2,300,19342,-5493,22.02,3.3,10950,3.25,3.3,3225
NIFTY,02-Dec-2025,24950,26299.65,10,0,0,0,75,1366.15,1376.1,75,11004,-584,21.47,3.4,7500,3.4,3.5,11850
NIFTY,02-Dec-2025,25000,26299.65,1583,-175,0,1326.4,75,1322.65,1326.4,150,137482,107,20.94,3.65,30750,3.65,3.7,11175
NIFTY,02-Dec-2025,25050,26299.65,8,0,0,0,75,1265.25,1280.75,75,11775,-2569,20.37,3.75,11625,3.7,3.8,9525
NIFTY,02-Dec-2025,25100,26299.65,869,2,0,1225,75,1222.1,1227.4,75,27853,-3500,19.79,3.9,31125,3.85,3.95,38175
NIFTY,02-Dec-2025,25150,26299.65,85,0,0,0,75,1171.45,1180,75,10351,-1738,19.19,4.15,17100,4.05,4.15,4950
NIFTY,02-Dec-2025,25200,26299.65,719,21,0,1119.65,75,1123.05,1128.1,75,63058,-6812,18.59,4.25,18975,4.25,4.3,19350
NIFTY,02-Dec-2025,25250,26299.65,129,3,0,1076.3,75,1074.3,1077.9,75,12019,-2067,18.03,4.5,2700,4.5,4.55,9825
NIFTY,02-Dec-2025,25300,26299.65,964,-19,0,1027,150,1025.05,1027.6,375,51259,-1687,17.46,4.75,13425,4.75,4.8,27975
NIFTY,02-Dec-2025,25350,26299.65,170,6,0,977.05,300,975,978.65,300,13958,-1409,16.9,5.05,7800,5.05,5.1,4425
NIFTY,02-Dec-2025,25400,26299.65,2631,-57,0,927.55,75,925.55,928.4,300,102544,29332,16.43,5.5,8550,5.5,5.55,37425
NIFTY,02-Dec-2025,25450,26299.65,245,12,0,877.15,375,875.9,879.55,300,34371,6215,15.87,5.9,8550,5.85,5.9,5700
NIFTY,02-Dec-2025,25500,26299.65,2573,-121,0,826.35,150,826.5,829.05,375,86568,-5578,15.31,6.4,16725,6.4,6.45,36150
NIFTY,02-Dec-2025,25550,26299.65,356,0,0,778.25,300,776.9,779.95,375,18829,340,14.78,6.95,9750,6.95,7,4425
NIFTY,02-Dec-2025,25600,26299.65,2137,-39,0,722,150,728.3,730.4,75,75950,1592,14.26,7.75,5550,7.7,7.75,17550
NIFTY,02-Dec-2025,25650,26299.65,525,-15,0,680.7,375,679.2,681.8,300,51048,14158,13.76,8.5,9975,8.5,8.6,14550
NIFTY,02-Dec-2025,25700,26299.65,4585,-575,0,630,150,630.7,632.2,150,78133,-9362,13.32,9.75,15450,9.75,9.8,7650
NIFTY,02-Dec-2025,25750,26299.65,1309,-236,0,585,150,582.7,584.95,450,34613,-2970,12.93,11.5,23700,11.5,11.6,11250
NIFTY,02-Dec-2025,25800,26299.65,6328,-596,7.97,532.85,450,534.7,536.05,225,109674,17596,12.54,13.55,17325,13.55,13.65,10275
NIFTY,02-Dec-2025,25850,26299.65,2740,-545,8.9,484.5,75,488.3,489.35,450,55507,8861,12.21,16.45,9075,16.4,16.5,4875
NIFTY,02-Dec-2025,25900,26299.65,11655,-1498,8.9,440,600,441.85,442.7,150,114655,11247,11.92,20.2,5400,20.15,20.2,5100
NIFTY,02-Dec-2025,25950,26299.65,6161,-2190,9.18,397.25,300,396.3,397.15,225,81523,669,11.63,24.8,6375,24.7,24.8,3675
NIFTY,02-Dec-2025,26000,26299.65,61364,-6383,9.39,352.6,300,352.05,352.8,825,256695,31739,11.36,30.45,4425,30.4,30.5,2775
NIFTY,02-Dec-2025,26050,26299.65,12545,-3907,9.35,309.85,225,308.85,309.55,225,67483,4815,11.01,36.85,1650,36.85,36.9,1125
NIFTY,02-Dec-2025,26100,26299.65,49740,-12319,9.24,266.9,450,266.9,267.4,375,156676,25045,10.7,45.15,450,45.1,45.2,4575
NIFTY,02-Dec-2025,26150,26299.65,22696,-5438,9.07,228.15,525,227.55,228,525,76444,21903,10.45,55.4,2400,55.45,55.6,3600
NIFTY,02-Dec-2025,26200,26299.65,88821,1566,8.99,191.4,225,191.15,191.45,225,154091,57676,10.23,68.6,300,68.6,68.7,1125
NIFTY,02-Dec-2025,26250,26299.65,68615,33954,8.92,157.65,375,157.3,157.65,1350,83223,65191,10.05,84.5,150,84.6,84.7,1650
NIFTY,02-Dec-2025,26300,26299.65,145193,76734,8.82,126.85,675,126.85,127,150,121937,86625,9.9,104.1,1800,104.1,104.3,1050
NIFTY,02-Dec-2025,26350,26299.65,67034,43043,8.72,100.5,75,100.35,100.45,1050,25329,18806,9.8,127.75,675,127.55,127.75,225
NIFTY,02-Dec-2025,26400,26299.65,90820,32405,8.64,77.7,1050,77.55,77.65,75,26860,18051,9.76,154.8,1050,154.7,155.05,450
NIFTY,02-Dec-2025,26450,26299.65,47551,24269,8.59,58.75,600,58.6,58.7,1425,7036,5464,9.82,186.1,375,186,186.45,1125
NIFTY,02-Dec-2025,26500,26299.65,126063,20094,8.62,44.1,675,44,44.05,2850,18070,8149,9.92,221.2,300,221.4,221.8,75
NIFTY,02-Dec-2025,26550,26299.65,30727,12155,8.66,32.5,2325,32.45,32.55,2100,1649,1280,10.08,259.7,225,259.65,260.2,300
NIFTY,02-Dec-2025,26600,26299.65,72261,20761,8.74,23.85,4200,23.8,23.9,6975,3356,1133,10.41,301.1,225,300.7,301.4,225
NIFTY,02-Dec-2025,26650,26299.65,33069,7831,8.87,17.7,8175,17.55,17.65,11250,849,421,10.84,344.15,150,344.3,345.15,225
NIFTY,02-Dec-2025,26700,26299.65,71341,3282,9.05,13.15,27600,13.05,13.15,23775,2077,511,11.06,391.65,150,389.5,390.4,150
NIFTY,02-Dec-2025,26750,26299.65,29836,8529,9.26,9.9,1500,9.85,9.9,10275,316,185,11.85,438.6,150,436.15,437.45,150
NIFTY,02-Dec-2025,26800,26299.65,62367,10548,9.49,7.5,14700,7.45,7.5,2100,1004,346,12.32,488.1,375,483.25,484.85,75
NIFTY,02-Dec-2025,26850,26299.65,28729,7633,9.74,5.85,6675,5.8,5.85,7050,139,73,13.15,530.7,75,531.95,533.5,375
NIFTY,02-Dec-2025,26900,26299.65,54621,10879,10.1,4.75,16650,4.7,4.75,25875,164,51,14.06,580.65,225,579.95,581.95,375
NIFTY,02-Dec-2025,26950,26299.65,18508,5609,10.47,3.85,20100,3.85,3.9,8550,52,19,15.14,631.55,75,629.45,631.65,375
NIFTY,02-Dec-2025,27000,26299.65,106503,8916,10.81,3.25,20250,3.2,3.25,51000,3092,40,15.32,682,150,679.4,680.9,75
NIFTY,02-Dec-2025,27050,26299.65,13642,2136,11.12,2.65,36675,2.6,2.65,80100,14,1,12.68,715.4,300,726.95,730.25,375
NIFTY,02-Dec-2025,27100,26299.65,47976,8713,11.48,2.15,115800,2.15,2.2,164025,66,3,17.03,777.9,375,776,779.95,375
NIFTY,02-Dec-2025,27150,26299.65,10415,2194,11.86,1.85,62550,1.85,1.9,75675,2,0,0,0,300,826.3,830.5,300
NIFTY,02-Dec-2025,27200,26299.65,48356,8868,12.19,1.6,108825,1.55,1.6,350250,98,-5,17.93,874.75,300,875.9,879.6,300
NIFTY,02-Dec-2025,27250,26299.65,10913,3493,12.57,1.4,85500,1.4,1.45,83400,110,0,19.26,926.75,300,924.85,928.8,75
NIFTY,02-Dec-2025,27300,26299.65,34683,1427,13.1,1.35,292950,1.3,1.35,179100,12,3,20.31,977.7,300,975.8,978.9,375
NIFTY,02-Dec-2025,27350,26299.65,6353,175,13.62,1.25,78975,1.25,1.3,56100,0,0,0,0,750,1001.8,1047.45,750
NIFTY,02-Dec-2025,27400,26299.65,33973,274,14.05,1.15,560400,1.15,1.2,342000,3,0,0,0,75,1071.45,1087.95,75
NIFTY,02-Dec-2025,27450,26299.65,5604,887,14.62,1.15,44475,1.15,1.2,177600,0,0,0,0,750,1111.25,1146.8,750
NIFTY,02-Dec-2025,27500,26299.65,64109,7319,15.11,1.15,479325,1.1,1.15,545625,45,1,12.59,1180,825,1160.15,1179.1,150
NIFTY,02-Dec-2025,27550,26299.65,9050,-1316,15.58,1.1,80550,1.05,1.1,60900,1,0,0,0,75,1223.2,1239,75
NIFTY,02-Dec-2025,27600,26299.65,21249,1976,16.14,1.1,72000,1.05,1.1,18150,3,0,0,0,75,1268.2,1291.85,75
NIFTY,02-Dec-2025,27650,26299.65,7182,-2472,16.6,1.1,61125,1.05,1.1,64050,1,0,0,0,75,1316.05,1348.05,750
NIFTY,02-Dec-2025,27700,26299.65,11091,-82,17.14,1.05,89550,1,1.05,27300,5,0,0,0,75,1370.4,1396.35,750
NIFTY,02-Dec-2025,27750,26299.65,2322,1040,17.59,1,51000,0.95,1,13050,1,0,0,0,75,1416.5,1441.8,75
NIFTY,02-Dec-2025,27800,26299.65,31682,750,17.91,0.9,226950,0.85,0.9,427275,1,0,0,0,75,1470.4,1497.5,825
NIFTY,02-Dec-2025,27850,26299.65,1820,732,18.33,0.85,27525,0.85,0.9,31650,1,0,0,0,750,1495.35,1541.5,75
