symbol,expiryDate,strikePrice,underlying,CE_OI,CE_CHGOI,CE_IV,CE_LTP,CE_BIDQTY,CE_BID,CE_ASK,CE_ASKQTY,PE_OI,PE_CHGOI,PE_IV,PE_LTP,PE_BIDQTY,PE_BID,PE_ASK,PE_ASKQTY
NIFTY,02-Dec-2025,23750,26015.25,9,0,0,0,750,2296.1,2328.5,150,6368,1741,26.77,1.95,4725,1.95,2,10350
NIFTY,02-Dec-2025,23800,26015.25,12,0,0,0,750,2238.3,2282.9,75,5702,546,26.4,1.95,11850,1.95,2,3225
NIFTY,02-Dec-2025,23850,26015.25,1,0,0,0,750,2192.55,2239.1,750,199,20,26.01,2,1500,1.85,2,375
NIFTY,02-Dec-2025,23900,26015.25,3,0,0,0,750,2142.7,2188.35,750,660,8,25.46,2.15,300,2.05,2.15,450
NIFTY,02-Dec-2025,23950,26015.25,2,0,0,0,750,2094.95,2136.2,750,42,0,0,0,825,1.75,2.25,675
NIFTY,02-Dec-2025,24000,26015.25,516,-111,0,2042,75,2058.3,2068.1,75,9936,719,24.65,2.2,7350,2.15,2.2,10425
NIFTY,02-Dec-2025,24050,26015.25,2,0,0,0,375,1996.75,2039.05,375,198,11,24.03,2.15,450,2.1,2.3,75
NIFTY,02-Dec-2025,24100,26015.25,4,0,0,0,375,1950.05,1983.15,750,709,-46,23.55,2.2,2100,2.1,2.2,525
NIFTY,02-Dec-2025,24150,26015.25,4,0,0,0,750,1897.5,1938.1,375,167,96,23,2.2,3000,2,2.25,3000
NIFTY,02-Dec-2025,24200,26015.25,3,0,0,0,1125,1841.9,1887.25,750,1559,7,22.57,2.3,1650,2.25,2.3,1725
NIFTY,02-Dec-2025,24250,26015.25,2,0,0,0,750,1798.25,1831.9,75,239,-4,21.77,2.45,450,2.15,2.3,450
NIFTY,02-Dec-2025,24300,26015.25,15,0,0,0,375,1751.45,1777.75,75,2890,102,21.52,2.3,12075,2.3,2.35,2700
NIFTY,02-Dec-2025,24350,26015.25,3,0,0,0,750,1696.6,1734.55,750,135,46,21.07,2.65,150,2.5,2.6,3000
NIFTY,02-Dec-2025,24400,26015.25,37,0,0,0,375,1634.5,1686.3,750,1958,-285,20.67,2.55,3075,2.55,2.6,1575
NIFTY,02-Dec-2025,24450,26015.25,2,0,0,0,375,1599.35,1640.25,750,178,24,20.21,2.7,525,2.65,2.8,3000
NIFTY,02-Dec-2025,24500,26015.25,197,4,25.96,1577.15,75,1556.95,1568.15,150,23488,3460,19.69,2.7,25200,2.7,2.75,42675
NIFTY,02-Dec-2025,24550,26015.25,3,0,0,0,750,1498.5,1532.45,150,470,-6,19.31,2.95,975,2.9,3.05,600
