symbol,expiryDate,strikePrice,underlying,CE_OI,CE_CHGOI,CE_IV,CE_LTP,CE_BIDQTY,CE_BID,CE_ASK,CE_ASKQTY,PE_OI,PE_CHGOI,PE_IV,PE_LTP,PE_BIDQTY,PE_BID,PE_ASK,PE_ASKQTY
NIFTY,02-Dec-2025,23750,26016.75,2,0,0,0,750,2323.5,2375.15,750,524,269,22.01,3.8,2100,3.75,3.95,300
NIFTY,02-Dec-2025,23800,26016.75,1,0,0,0,750,2270.15,2326.6,750,881,253,21.55,3.85,450,3.85,4.05,1575
NIFTY,02-Dec-2025,23850,26016.75,0,0,0,0,150,2227.55,2273.9,750,32,10,21.19,4,225,4,4.25,525
NIFTY,02-Dec-2025,23900,26016.75,1,0,0,0,750,2178.35,2224.35,750,97,39,20.86,4.2,150,4.25,4.45,150
NIFTY,02-Dec-2025,23950,26016.75,0,0,0,0,750,2124.45,2176.55,750,0,0,0,0,1800,3.45,5.25,75
NIFTY,02-Dec-2025,24000,26016.75,113,4,0,2092.75,75,2082.1,2106.8,600,2468,696,20.34,4.6,1125,4.6,4.65,825
NIFTY,02-Dec-2025,24050,26016.75,0,0,0,0,150,2028.75,2074.5,750,169,1,19.99,4.9,825,4.4,5.15,825
NIFTY,02-Dec-2025,24100,26016.75,1,0,0,0,750,1971.15,2022.6,750,660,271,19.85,5.15,1125,5.1,5.2,975
NIFTY,02-Dec-2025,24150,26016.75,1,0,0,0,75,1929.85,1976.95,750,1,0,0,0,900,4.3,6.65,75
NIFTY,02-Dec-2025,24200,26016.75,1,0,0,0,750,1872.3,1919.5,750,890,582,19.11,5.6,2025,5.6,5.7,1425
NIFTY,02-Dec-2025,24250,26016.75,1,0,0,0,750,1822.15,1877.8,750,87,71,18.73,5.9,150,5.65,6.15,825
NIFTY,02-Dec-2025,24300,26016.75,2,0,0,0,150,1785.9,1813.75,750,1033,566,18.42,6.2,1125,6.05,6.1,150
NIFTY,02-Dec-2025,24350,26016.75,0,0,0,0,750,1727.2,1762.95,150,93,77,18.12,6.55,225,6.2,6.7,1650
NIFTY,02-Dec-2025,24400,26016.75,1,0,0,0,150,1677.05,1712.6,75,592,312,17.77,6.65,900,6.6,6.7,450
NIFTY,02-Dec-2025,24450,26016.75,0,0,0,0,750,1626.4,1663.1,150,147,127,17.45,7.15,375,7,7.25,150
NIFTY,02-Dec-2025,24500,26016.75,5,0,0,0,150,1577.6,1606.85,150,4972,2330,17.16,7.45,150,7.4,7.45,525
NIFTY,02-Dec-2025,24550,26016.75,0,0,0,0,750,1529.85,1564.05,150,108,84,16.83,8,225,7.75,8.15,600
NIFTY,02-Dec-2025,24600,26016.75,1,0,0,0,750,1479.75,1514.9,150,2465,1646,16.51,8.35,450,8.3,8.35,675
NIFTY,02-Dec-2025,24650,26016.75,0,0,0,0,150,1439.2,1467.55,750,158,95,16.21,8.75,375,8.7,8.85,150
NIFTY,02-Dec-2025,24700,26016.75,4,0,0,0,75,1385.7,1414.75,75,1575,579,15.81,9.2,900,9.05,9.15,1350
NIFTY,02-Dec-2025,24750,26016.75,0,0,0,0,750,1333.55,1367.5,150,345,250,15.53,9.95,375,9.6,9.8,375
NIFTY,02-Dec-2025,24800,26016.75,3,0,0,1182,750,1286.25,1318.25,225,3400,1469,15.16,10.2,150,10.2,10.3,1125
NIFTY,02-Dec-2025,24850,26016.75,1,0,0,0,750,1236.95,1268.4,225,339,244,14.92,11.4,375,11.1,11.25,375
NIFTY,02-Dec-2025,24900,26016.75,25,0,14.03,1215,75,1189.75,1218.5,75,1860,487,14.61,12.1,225,12.05,12.1,450
NIFTY,02-Dec-2025,24950,26016.75,0,0,0,0,750,1139.2,1170.75,225,471,178,14.37,13.4,600,13.15,13.25,75
NIFTY,02-Dec-2025,25000,26016.75,474,112,11.4,1109.95,225,1099.85,1104.7,75,7351,2350,14.12,14.5,450,14.5,14.6,900
NIFTY,02-Dec-2025,25050,26016.75,1,0,0,0,750,1041.55,1075.3,750,404,187,13.86,15.95,75,15.85,15.95,150
NIFTY,02-Dec-2025,25100,26016.75,137,3,13.92,1025.5,75,1004.2,1012.55,75,2332,690,13.66,17.65,825,17.65,17.75,300
NIFTY,02-Dec-2025,25150,26016.75,8,0,0,845.3,150,951.35,979.05,750,761,364,13.42,20,375,19.65,19.8,225
NIFTY,02-Dec-2025,25200,26016.75,205,13,11.7,919.2,75,907.4,915.15,75,4593,871,13.25,22,450,22.05,22.15,375
NIFTY,02-Dec-2025,25250,26016.75,6,0,0,0,75,854.3,884.15,300,855,394,12.98,25.3,300,24.8,24.95,300
NIFTY,02-Dec-2025,25300,26016.75,360,207,11.82,826,150,814.7,821.25,75,4795,1508,12.84,28.3,75,28.1,28.2,750
NIFTY,02-Dec-2025,25350,26016.75,32,0,0,0,75,767.3,789.55,75,896,183,12.68,31.7,150,31.9,32.05,375
NIFTY,02-Dec-2025,25400,26016.75,330,121,11.46,733.65,75,723.75,729.25,75,6130,1616,12.5,36.2,525,36.1,36.3,825
NIFTY,02-Dec-2025,25450,26016.75,28,4,0,624.8,75,680,693.1,75,975,425,12.35,41.5,525,41.25,41.45,300
NIFTY,02-Dec-2025,25500,26016.75,1999,451,11.72,651.2,150,637.15,639.65,150,6883,2586,12.23,46.75,450,47.1,47.25,375
NIFTY,02-Dec-2025,25550,26016.75,56,7,12.13,611.85,75,592.7,597.35,75,798,329,12.09,54,75,53.8,54,75
NIFTY,02-Dec-2025,25600,26016.75,1213,381,11.43,552.05,450,551,553.8,150,5033,1927,11.96,61.7,600,61.25,61.45,300
NIFTY,02-Dec-2025,25650,26016.75,78,16,11.55,521.65,75,511.35,513.8,75,1257,765,11.84,70.2,225,69.95,70.2,375
NIFTY,02-Dec-2025,25700,26016.75,1200,368,11.06,474.95,75,471.3,472.95,150,5226,2417,11.73,80.35,150,79.85,80.1,675
NIFTY,02-Dec-2025,25750,26016.75,311,100,11.19,442,150,433.05,434.85,150,1293,540,11.62,91.6,225,91,91.25,75
NIFTY,02-Dec-2025,25800,26016.75,2566,538,11.11,396.25,75,395.7,396.25,750,6930,3167,11.56,103.45,75,104,104.25,75
NIFTY,02-Dec-2025,25850,26016.75,821,198,11,362,75,360.85,362.45,300,2142,1389,11.46,117.8,150,118.15,118.5,450
NIFTY,02-Dec-2025,25900,26016.75,5288,1390,10.96,327.35,150,327.65,328.45,75,9738,4985,11.37,133.75,75,133.8,134.1,300
NIFTY,02-Dec-2025,25950,26016.75,2240,801,10.85,295,75,294.65,295.5,225,2743,1819,11.29,151.7,450,150.85,151.3,375
NIFTY,02-Dec-2025,26000,26016.75,17072,4968,10.78,263.75,75,263.75,264.4,225,17021,8335,11.17,169.7,375,169.75,170.15,300
NIFTY,02-Dec-2025,26050,26016.75,1385,572,10.73,234.6,75,235.35,235.85,75,1320,705,11.16,190.95,150,190.9,191.4,900
NIFTY,02-Dec-2025,26100,26016.75,8369,3031,10.69,208.4,75,208.6,209,150,6248,2789,11.04,213.8,300,213.4,213.9,75
NIFTY,02-Dec-2025,26150,26016.75,1159,611,10.6,183.4,75,182.7,183.2,375,784,229,11.02,238.9,75,238.85,239.55,75
NIFTY,02-Dec-2025,26200,26016.75,12126,7321,10.55,160.7,750,160.15,160.6,300,3218,1852,10.94,266.35,75,265.75,266.5,300
NIFTY,02-Dec-2025,26250,26016.75,1163,639,10.5,140,150,139.3,139.7,300,156,85,10.93,295.25,75,294.55,295.5,375
NIFTY,02-Dec-2025,26300,26016.75,7271,1128,10.46,120.65,450,120.6,120.9,225,598,194,10.91,325,150,324.6,325.75,150
NIFTY,02-Dec-2025,26350,26016.75,1777,885,10.37,102.8,75,102.95,103.2,300,129,77,10.88,355,75,357.75,359.05,150
NIFTY,02-Dec-2025,26400,26016.75,3650,967,10.34,87.9,225,87.7,87.95,375,537,342,10.82,393.2,75,392.3,393.5,300
NIFTY,02-Dec-2025,26450,26016.75,1181,683,10.26,73.9,75,74.15,74.35,300,48,36,10.76,422.45,75,428.2,430.4,75
NIFTY,02-Dec-2025,26500,26016.75,11002,3083,10.27,62.05,450,62.2,62.35,150,1456,792,10.76,466.75,75,465.3,467.2,75
NIFTY,02-Dec-2025,26550,26016.75,1161,368,10.2,51.8,75,51.7,51.85,75,7,4,10.17,492.25,75,503.85,508.6,150
NIFTY,02-Dec-2025,26600,26016.75,3884,1372,10.22,43,150,43.05,43.2,600,423,406,10.5,545.95,75,546.05,548.95,75
NIFTY,02-Dec-2025,26650,26016.75,1101,285,10.18,36.1,450,35.75,35.85,150,3,0,10.98,585,75,586.8,592.35,75
NIFTY,02-Dec-2025,26700,26016.75,3592,829,10.19,29.35,1275,29.35,29.5,975,9,8,11.11,628.8,225,631,634,225
NIFTY,02-Dec-2025,26750,26016.75,1605,610,10.21,23.8,1050,24.1,24.25,450,0,0,0,0,750,661.5,692.8,75
NIFTY,02-Dec-2025,26800,26016.75,5950,2901,10.23,19.7,600,19.75,19.85,300,14,4,11.29,718,300,721,725,225
NIFTY,02-Dec-2025,26850,26016.75,581,166,10.21,16.1,375,16.15,16.25,450,0,0,0,0,750,750.8,785.95,375
NIFTY,02-Dec-2025,26900,26016.75,2928,705,10.27,13.3,600,13.25,13.35,1200,0,0,11.64,811,300,814,818,300
NIFTY,02-Dec-2025,26950,26016.75,50,50,10.37,11,300,10.9,11.05,525,1,0,0,0,750,849.05,880.85,75
NIFTY,02-Dec-2025,27000,26016.75,10067,4007,10.4,9,525,9,9.05,150,61,13,12.05,906,75,907.4,914.7,75
NIFTY,02-Dec-2025,27050,26016.75,271,156,10.51,7.6,150,7.5,7.6,600,2,0,0,0,150,945.5,976.1,75
NIFTY,02-Dec-2025,27100,26016.75,2446,1713,10.58,6.35,1425,6.25,6.35,1350,1,0,0,0,750,992.55,1015.65,75
NIFTY,02-Dec-2025,27150,26016.75,308,195,10.73,5.4,1425,5.25,5.5,150,1,0,0,0,750,1042.45,1075.9,75
NIFTY,02-Dec-2025,27200,26016.75,4485,2031,10.89,4.75,225,4.7,4.75,600,0,0,0,0,750,1089.5,1123.9,225
NIFTY,02-Dec-2025,27250,26016.75,269,22,11.09,4.2,225,3.75,4.2,225,1,0,24.81,1258.45,150,1133.3,1169.95,150
NIFTY,02-Dec-2025,27300,26016.75,1649,1094,11.09,3.4,675,3.35,3.4,2325,1,0,0,0,750,1189.15,1223.1,75
NIFTY,02-Dec-2025,27350,26016.75,199,99,11.4,3.15,225,2.7,3.15,2100,1,0,0,0,750,1239.3,1272.3,75
NIFTY,02-Dec-2025,27400,26016.75,3045,2543,11.35,2.45,3225,2.35,2.4,5250,1,0,0,0,750,1286.65,1312.1,75
NIFTY,02-Dec-2025,27450,26016.75,177,113,11.69,2.35,375,2.25,2.35,450,1,0,0,0,750,1338.3,1362.35,75
NIFTY,02-Dec-2025,27500,26016.75,3410,741,11.88,2.15,5550,2.1,2.15,7575,2,0,23.87,1460,750,1384.25,1413.25,75
NIFTY,02-Dec-2025,27550,26016.75,254,-13,12.2,2.05,225,1.85,2,3750,0,0,0,0,750,1426.8,1466.95,75
NIFTY,02-Dec-2025,27600,26016.75,863,425,12.36,1.75,2625,1.75,1.8,2175,1,0,0,0,750,1478.6,1520.85,75
NIFTY,02-Dec-2025,27650,26016.75,390,138,12.58,1.65,300,1.65,1.7,4200,0,0,31.68,1679.2,150,1539.95,1561.3,75
NIFTY,02-Dec-2025,27700,26016.75,410,117,12.88,1.6,600,1.6,1.65,7050,0,0,0,0,750,1580.85,1615,75
NIFTY,02-Dec-2025,27750,26016.75,424,234,13.17,1.6,3450,1.55,1.6,7050,0,0,0,0,750,1617.5,1663.8,75
NIFTY,02-Dec-2025,27800,26016.75,1285,413,13.56,1.6,19125,1.55,1.6,10200,0,0,0,0,750,1667.35,1713.25,75
NIFTY,09-Dec-2025,23750,26016.75,1,0,0,0,75,2354,2421.8,75,137,22,19.36,6.65,300,5.6,6.65,75
NIFTY,09-Dec-2025,23800,26016.75,1,0,0,0,75,2305.15,2371.75,75,140,23,19.18,7.2,300,6.45,8.35,525
NIFTY,09-Dec-2025,23850,26016.75,2,0,0,0,75,2256.3,2321.75,75,1,0,0,0,75,5.15,11.45,75
NIFTY,09-Dec-2025,23900,26016.75,1,0,0,0,75,2207.5,2271.8,75,0,0,0,0,75,4.85,10.7,75
NIFTY,09-Dec-2025,23950,26016.75,1,0,0,0,75,2157.9,2220.95,75,0,0,0,0,75,4.45,10.95,75
NIFTY,09-Dec-2025,24000,26016.75,1,0,0,0,75,2109.95,2171.95,75,338,54,18.17,8.5,150,8.1,8.45,225
NIFTY,09-Dec-2025,24050,26016.75,2,0,0,0,75,2061.05,2121.85,75,0,0,0,0,75,6.75,16.95,75
NIFTY,09-Dec-2025,24100,26016.75,0,0,0,0,75,2012.05,2071.65,75,0,0,0,0,600,7.85,12.15,75
NIFTY,09-Dec-2025,24150,26016.75,1,0,0,0,75,1963.7,2022.25,75,15,7,17.38,9.5,300,7.55,12.75,300
NIFTY,09-Dec-2025,24200,26016.75,0,0,0,0,75,1915.55,1989.95,75,224,10,16.96,9.35,300,9,10.35,525
NIFTY,09-Dec-2025,24250,26016.75,0,0,0,0,75,1866.2,1922.4,75,25,0,0,0,75,8.45,13,75
NIFTY,09-Dec-2025,24300,26016.75,0,0,0,0,75,1817.45,1872.45,75,32,2,16.38,10,300,9.65,12.5,150
NIFTY,09-Dec-2025,24350,26016.75,0,0,0,0,75,1768.85,1822.8,75,14,0,0,0,75,9.25,15.1,900
NIFTY,09-Dec-2025,24400,26016.75,0,0,0,0,75,1720.25,1773.05,75,147,50,16.07,11.85,75,10.65,11.85,75
NIFTY,09-Dec-2025,24450,26016.75,1,0,0,0,75,1671.7,1723.3,75,10,0,16.61,16.3,300,10.4,14.85,900
NIFTY,09-Dec-2025,24500,26016.75,1,0,0,1649,75,1628.05,1645.7,75,1009,190,15.58,13.2,225,13,13.35,825
NIFTY,09-Dec-2025,24550,26016.75,1,0,0,0,75,1574.8,1624.05,75,25,12,15.31,13.85,150,12.8,15.8,75
NIFTY,09-Dec-2025,24600,26016.75,1,0,0,0,75,1526.5,1588,150,95,-9,15.07,14.65,75,14.2,14.9,150
NIFTY,09-Dec-2025,24650,26016.75,1,0,0,0,75,1478.7,1532.6,75,40,-3,14.9,15.95,150,13.85,16.3,150
NIFTY,09-Dec-2025,24700,26016.75,1,0,0,0,75,1430.1,1489.45,150,152,39,14.58,16.5,75,15.65,16.85,150
NIFTY,09-Dec-2025,24750,26016.75,1,0,0,0,75,1382.25,1426.5,75,58,21,14.3,17.3,150,16.6,18.05,150
NIFTY,09-Dec-2025,24800,26016.75,0,0,0,0,75,1334.35,1377.3,75,467,87,13.96,17.8,75,18,19,75
NIFTY,09-Dec-2025,24850,26016.75,1,0,0,0,75,1263.85,1328.6,75,91,27,13.9,20.2,150,19.9,20.9,150
NIFTY,09-Dec-2025,24900,26016.75,2,0,0,1113.9,75,1236.7,1279.95,75,411,181,13.7,21.85,150,21.8,22.55,75
NIFTY,09-Dec-2025,24950,26016.75,2,0,0,0,75,1168.75,1231.6,75,118,7,13.54,23.95,450,23.8,24.9,450
NIFTY,09-Dec-2025,25000,26016.75,28,2,11.27,1165,150,1146.1,1159.9,75,2007,320,13.41,26.8,150,26.45,26.8,1725
NIFTY,09-Dec-2025,25050,26016.75,2,0,0,0,75,1087.15,1135.65,75,120,16,13.24,29,75,28.65,29.3,75
NIFTY,09-Dec-2025,25100,26016.75,4,0,0,0,75,1049.7,1089.1,450,965,208,13.04,31.5,75,31.5,31.85,225
NIFTY,09-Dec-2025,25150,26016.75,3,0,0,0,75,996.7,1041.05,75,110,2,13.16,37.55,450,35.35,36.05,75
NIFTY,09-Dec-2025,25200,26016.75,38,0,0,900,75,955.35,986.05,75,818,42,12.76,39.05,75,38.85,39.45,75
NIFTY,09-Dec-2025,25250,26016.75,2,0,0,0,75,902.1,948.25,75,113,-19,12.67,43.15,375,43.25,44.1,75
NIFTY,09-Dec-2025,25300,26016.75,56,0,0,0,150,875,899.3,375,694,25,12.51,47.3,600,47.55,48.1,75
