symbol,expiryDate,strikePrice,underlying,CE_OI,CE_CHGOI,CE_IV,CE_LTP,CE_BIDQTY,CE_BID,CE_ASK,CE_ASKQTY,PE_OI,PE_CHGOI,PE_IV,PE_LTP,PE_BIDQTY,PE_BID,PE_ASK,PE_ASKQTY
NIFTY,06-Jan-2026,24250,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,260,7.65,12.7,130
NIFTY,06-Jan-2026,24300,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,14.56,11,130,10,13,65
NIFTY,06-Jan-2026,24350,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1300,9,20.9,260
NIFTY,06-Jan-2026,24400,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,65,9.85,16.8,130
NIFTY,06-Jan-2026,24450,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1300,8.6,22.9,130
NIFTY,06-Jan-2026,24500,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,0,0,11.1,650,10.5,13.55,325
NIFTY,06-Jan-2026,24550,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,650,10.6,29.9,260
NIFTY,06-Jan-2026,24600,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,4,13.06,12.7,65,12.7,15,130
NIFTY,06-Jan-2026,24650,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,650,11.9,39.9,260
NIFTY,06-Jan-2026,24700,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,780,13.15,26.85,65
NIFTY,06-Jan-2026,24750,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,650,12,27,650
NIFTY,06-Jan-2026,24800,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,12.41,16.5,2925,14.6,19.6,130
NIFTY,06-Jan-2026,24850,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,975,14.2,33,650
NIFTY,06-Jan-2026,24900,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,975,13.2,31.65,65
NIFTY,06-Jan-2026,24950,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,975,15.7,35.95,975
NIFTY,06-Jan-2026,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,45,0,22.9,650,22.6,25.1,65
NIFTY,06-Jan-2026,25050,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,650,18,66.05,975
NIFTY,06-Jan-2026,25100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,975,22.65,100,650
NIFTY,06-Jan-2026,25150,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,17,11.65,30.95,65,25,30.7,65
NIFTY,06-Jan-2026,25200,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1430,27.05,65,325
NIFTY,06-Jan-2026,25250,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1950,25.3,0,0
NIFTY,06-Jan-2026,25300,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,650,30.25,127.25,715
NIFTY,06-Jan-2026,25350,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,975,30.05,67.8,65
NIFTY,06-Jan-2026,25400,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2925,38.65,154.95,845
NIFTY,06-Jan-2026,25450,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,520,24.15,190,260
NIFTY,06-Jan-2026,25500,26180.9,0,0,0,0,325,909,945.5,1170,0,0,0,0,975,1.35,193,65
NIFTY,06-Jan-2026,25550,26180.9,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,975,49.85,0,0
NIFTY,06-Jan-2026,25600,26180.9,0,0,0,0,325,655.25,1056.7,65,0,0,0,0,975,35.1,170.6,975
NIFTY,06-Jan-2026,25650,26180.9,0,0,0,0,585,762.65,0,0,0,0,0,0,520,21.3,0,0
NIFTY,06-Jan-2026,25700,26180.9,2,0,0,0,65,670.1,1095.6,65,0,0,0,0,975,34.35,156.8,975
NIFTY,06-Jan-2026,25750,26180.9,0,0,0,0,325,501.9,731.05,650,0,0,0,0,2145,78.4,0,0
NIFTY,06-Jan-2026,25800,26180.9,0,0,0,0,390,464.45,765.35,65,0,0,0,0,975,0.2,0,0
NIFTY,06-Jan-2026,25850,26180.9,0,0,0,0,325,371.8,924.5,325,0,0,0,0,325,49.8,201.15,650
NIFTY,06-Jan-2026,25900,26180.9,36,2,0,593,65,586.05,595.15,65,174,52,9.95,116,65,116.35,118.95,65
NIFTY,06-Jan-2026,25950,26180.9,0,0,0,0,325,399.8,745.4,65,7,3,0,135,65,123.5,138.45,65
NIFTY,06-Jan-2026,26000,26180.9,187,43,0,516.5,65,514,521,65,87,50,9.85,141,65,135.05,142,65
NIFTY,06-Jan-2026,26050,26180.9,6,3,0,500,325,99.8,489.3,195,0,0,0,0,325,48.55,336.45,65
NIFTY,06-Jan-2026,26100,26180.9,24,23,8.43,442.25,65,440.45,450.85,65,22,21,9.87,173.6,65,167.55,176.45,65
NIFTY,06-Jan-2026,26150,26180.9,0,0,0,0,390,226.35,613.85,65,0,0,0,0,520,106,0,0
NIFTY,06-Jan-2026,26200,26180.9,72,53,8.4,377.05,65,376.2,383,65,60,53,0,205.6,65,203.15,213.75,65
NIFTY,06-Jan-2026,26250,26180.9,2,0,0,0,650,326.35,550.75,65,0,0,0,0,975,187.85,0,0
NIFTY,06-Jan-2026,26300,26180.9,36,17,8.9,333.55,975,309.8,418.25,65,0,0,0,0,975,70.85,260.05,260
NIFTY,06-Jan-2026,26350,26180.9,0,0,0,0,1950,109.15,641.85,65,0,0,0,0,975,246.9,290.2,585
NIFTY,06-Jan-2026,26400,26180.9,23,19,0,273.9,65,257.7,274.05,65,26,24,0,287.05,65,272.65,305,65
NIFTY,06-Jan-2026,26450,26180.9,0,0,0,0,650,133.85,278.5,975,0,0,0,0,325,221.95,333.25,975
NIFTY,06-Jan-2026,26500,26180.9,125,89,0,222,65,214.2,222,195,21,20,9.46,339,65,319.7,347.5,65
NIFTY,06-Jan-2026,26550,26180.9,0,0,0,0,585,66.8,0,0,0,0,0,0,0,0,415.4,260
NIFTY,06-Jan-2026,26600,26180.9,0,0,0,0,780,160.45,340,650,0,0,0,0,0,0,421.6,260
NIFTY,06-Jan-2026,26650,26180.9,0,0,0,0,650,72.9,451.25,325,0,0,0,0,0,0,0,0
NIFTY,06-Jan-2026,26700,26180.9,77,41,8.2,137,65,122.6,141.45,65,0,0,0,0,0,0,486.2,260
NIFTY,06-Jan-2026,26750,26180.9,0,0,0,0,1300,70.95,180,910,0,0,0,0,0,0,547.25,65
NIFTY,06-Jan-2026,26800,26180.9,0,0,0,0,845,84.3,154.15,65,0,0,0,0,0,0,558.15,260
NIFTY,06-Jan-2026,26850,26180.9,0,0,0,0,975,59.05,180,910,0,0,0,0,0,0,734.7,65
NIFTY,06-Jan-2026,26900,26180.9,4,0,0,0,975,40.3,136.15,910,0,0,0,0,0,0,634.75,260
NIFTY,06-Jan-2026,26950,26180.9,0,0,0,0,845,36.55,119,910,2,2,0,640,0,0,0,0
NIFTY,06-Jan-2026,27000,26180.9,246,142,8.13,62.15,65,61.5,63,65,0,0,0,0,0,0,699.55,260
NIFTY,06-Jan-2026,27050,26180.9,0,0,0,0,520,21.5,82.6,910,NA,NA,NA,NA,NA,NA,NA,NA
NIFTY,06-Jan-2026,27100,26180.9,0,0,0,0,715,33.35,76.55,975,NA,NA,NA,NA,NA,NA,NA,NA
NIFTY,06-Jan-2026,27150,26180.9,0,0,0,0,975,22,89.35,910,NA,NA,NA,NA,NA,NA,NA,NA
NIFTY,06-Jan-2026,27200,26180.9,0,0,0,0,975,25.6,65.65,975,NA,NA,NA,NA,NA,NA,NA,NA
NIFTY,06-Jan-2026,27250,26180.9,0,0,0,0,975,19.3,60.65,910,3,1,0,890,65,620.15,0,0
NIFTY,06-Jan-2026,27300,26180.9,0,0,0,0,975,14.6,56,975,NA,NA,NA,NA,NA,NA,NA,NA
NIFTY,06-Jan-2026,27350,26180.9,0,0,0,0,975,14.95,66.05,910,NA,NA,NA,NA,NA,NA,NA,NA
NIFTY,06-Jan-2026,27400,26180.9,0,0,0,0,975,10.05,47.55,65,NA,NA,NA,NA,NA,NA,NA,NA
NIFTY,06-Jan-2026,27450,26180.9,0,0,0,0,650,11.3,43.75,910,NA,NA,NA,NA,NA,NA,NA,NA
NIFTY,06-Jan-2026,27500,26180.9,0,0,0,0,3900,10.35,40.2,975,NA,NA,NA,NA,NA,NA,NA,NA
NIFTY,06-Jan-2026,27550,26180.9,5,0,0,0,1300,8.3,26,650,NA,NA,NA,NA,NA,NA,NA,NA
NIFTY,06-Jan-2026,27600,26180.9,0,0,0,0,3900,7.4,33.8,910,NA,NA,NA,NA,NA,NA,NA,NA
NIFTY,06-Jan-2026,27650,26180.9,0,0,0,0,1300,7.2,40.55,910,NA,NA,NA,NA,NA,NA,NA,NA
NIFTY,06-Jan-2026,27700,26180.9,0,0,0,0,130,24.65,37.05,910,NA,NA,NA,NA,NA,NA,NA,NA
NIFTY,06-Jan-2026,27750,26180.9,0,0,0,0,1300,6.5,34.15,910,NA,NA,NA,NA,NA,NA,NA,NA
NIFTY,06-Jan-2026,27800,26180.9,174,50,0,7.9,650,6.8,8.85,260,NA,NA,NA,NA,NA,NA,NA,NA
NIFTY,09-Dec-2025,23750,26180.9,9,0,0,0,75,2407.9,2508.9,75,43225,20386,34,0.75,1800,0.75,0.8,750
NIFTY,09-Dec-2025,23800,26180.9,7,0,0,0,75,2360.8,2449.7,75,34598,14732,33.12,0.75,21600,0.7,0.75,2625
NIFTY,09-Dec-2025,23850,26180.9,2,0,0,0,75,2307.65,2395.05,75,2665,1038,0,0.8,3000,0.8,0.9,900
NIFTY,09-Dec-2025,23900,26180.9,1,0,0,0,75,2283.35,2354.7,75,5058,-1604,32.43,0.85,9600,0.85,0.9,5550
NIFTY,09-Dec-2025,23950,26180.9,1,-1,0,2182.45,75,2218.25,2310.7,750,3311,1347,0,0.9,2250,0.9,0.95,900
NIFTY,09-Dec-2025,24000,26180.9,1039,-140,0,2208.75,75,2196,2207.45,75,51490,13221,30.91,0.85,11475,0.8,0.85,5700
NIFTY,09-Dec-2025,24050,26180.9,4,0,0,0,75,2112.7,2178,75,2209,465,0,0.95,2400,0.9,1.05,150
NIFTY,09-Dec-2025,24100,26180.9,1,0,0,0,75,2075.15,2151.25,750,4477,653,30.43,1.05,975,0.95,1.05,2250
NIFTY,09-Dec-2025,24150,26180.9,1,0,0,0,75,2021.55,2091.1,75,4577,2689,29.76,1.05,75,0.95,1.05,3000
NIFTY,09-Dec-2025,24200,26180.9,4,0,0,0,75,1962.25,2058.8,75,12937,9077,29.37,1.15,19500,1.05,1.15,900
NIFTY,09-Dec-2025,24250,26180.9,2,0,0,0,75,1909.15,2002.75,750,2549,1358,28.4,1.15,75,1.05,1.15,2475
NIFTY,09-Dec-2025,24300,26180.9,17,0,0,1860,75,1888.5,1953.55,75,8110,3241,0,1.2,10200,1.1,1.2,750
NIFTY,09-Dec-2025,24350,26180.9,2,0,0,0,75,1840.15,1904.15,750,2380,272,27.45,1.2,375,1.05,1.2,1275
NIFTY,09-Dec-2025,24400,26180.9,37,0,0,0,75,1309.5,2473.2,75,4684,-4516,0,1.1,750,1.1,1.25,150
NIFTY,09-Dec-2025,24450,26180.9,11,0,0,0,75,1720.9,1780.55,75,2439,522,0,1.3,225,1.25,1.3,375
NIFTY,09-Dec-2025,24500,26180.9,229,-13,0,1705.05,75,1689.8,1709.3,75,55931,13799,25.62,1.3,4200,1.25,1.3,5175
NIFTY,09-Dec-2025,24550,26180.9,5,0,0,1535.65,75,1647.25,1668.95,75,4540,2280,0,1.35,1125,1.3,1.4,1725
NIFTY,09-Dec-2025,24600,26180.9,36,0,0,1605,75,1598.2,1610.05,75,11198,4902,23.79,1.4,75,1.35,1.5,1200
NIFTY,09-Dec-2025,24650,26180.9,29,0,0,1504.85,75,1545.5,1568.45,75,6116,3567,0,1.4,300,1.4,1.5,600
NIFTY,09-Dec-2025,24700,26180.9,51,-17,0,1505.45,75,1487.95,1510.25,75,23220,3417,23.25,1.6,150,1.55,1.6,900
NIFTY,09-Dec-2025,24750,26180.9,8,2,0,1413.2,75,1447.1,1468.2,75,8191,1817,22.63,1.55,75,1.55,1.6,75
NIFTY,09-Dec-2025,24800,26180.9,60,0,21.54,1409.4,75,1398.55,1410.65,75,37033,-2067,0,1.7,75,1.6,1.75,750
NIFTY,09-Dec-2025,24850,26180.9,15,0,0,1315,75,1348.7,1369.45,75,5635,1712,21.46,1.75,75,1.6,1.8,1650
NIFTY,09-Dec-2025,24900,26180.9,91,0,0,1256,75,1299.8,1316.05,75,22487,-1689,0,1.9,75,1.75,1.85,900
NIFTY,09-Dec-2025,24950,26180.9,5,0,0,0,75,1247.8,1269.55,75,10204,3505,20.11,1.75,600,1.8,1.85,1125
