symbol,expiryDate,strikePrice,underlying,CE_OI,CE_CHGOI,CE_IV,CE_LTP,CE_BIDQTY,CE_BID,CE_ASK,CE_ASKQTY,PE_OI,PE_CHGOI,PE_IV,PE_LTP,PE_BIDQTY,PE_BID,PE_ASK,PE_ASKQTY
NIFTY,02-Dec-2025,23750,26090.7,2,0,0,0,750,2384.5,2439.95,750,749,-14,22.56,2.95,1875,2.8,2.95,2700
NIFTY,02-Dec-2025,23800,26090.7,2,0,0,0,1125,2339.4,2390.55,750,965,127,22.04,2.85,2325,2.85,2.95,450
NIFTY,02-Dec-2025,23850,26090.7,0,0,0,0,1125,2280.45,2339.75,750,38,0,21.88,3.15,375,3,3.2,1200
NIFTY,02-Dec-2025,23900,26090.7,2,0,0,0,750,2231.25,2290.9,750,114,0,21.09,3,5475,2.8,3.4,1500
NIFTY,02-Dec-2025,23950,26090.7,0,0,0,0,750,2180.05,2243.2,750,0,0,0,0,975,2.1,8.5,300
NIFTY,02-Dec-2025,24000,26090.7,229,0,21.8,2175,75,2153.2,2172.25,75,3004,72,20.66,3.3,450,3.25,3.3,825
NIFTY,02-Dec-2025,24050,26090.7,0,0,0,0,750,2093.1,2141.05,750,168,0,0,0,1575,2.8,4.95,300
NIFTY,02-Dec-2025,24100,26090.7,2,0,0,0,1125,2045.3,2089.2,75,708,30,20.23,3.8,450,3.75,3.85,225
NIFTY,02-Dec-2025,24150,26090.7,1,0,0,0,375,1994.75,2041.3,375,1,0,0,0,1575,2.8,5.4,75
NIFTY,02-Dec-2025,24200,26090.7,2,0,0,0,1125,1947.7,1994.65,750,867,-51,19.61,4.1,150,4.1,4.2,750
NIFTY,02-Dec-2025,24250,26090.7,1,0,0,0,750,1898.05,1941.15,750,136,49,19.22,4.35,300,4.3,4.45,600
NIFTY,02-Dec-2025,24300,26090.7,2,0,0,0,750,1843.55,1886.45,1125,978,3,18.92,4.5,375,4.45,4.55,225
NIFTY,02-Dec-2025,24350,26090.7,1,0,0,0,375,1796.75,1841.45,750,80,0,0,0,300,3.9,5.75,600
NIFTY,02-Dec-2025,24400,26090.7,1,0,0,0,375,1752.5,1783.65,75,614,77,18.31,5.2,300,5,5.15,600
NIFTY,02-Dec-2025,24450,26090.7,2,0,0,0,75,1703.75,1733.75,75,131,-27,18.14,5.45,450,5.35,5.5,450
NIFTY,02-Dec-2025,24500,26090.7,5,0,0,0,375,1653.4,1677.9,75,4598,-157,17.7,5.65,675,5.65,5.7,450
NIFTY,02-Dec-2025,24550,26090.7,1,0,0,0,375,1603.85,1634.8,150,247,0,0,0,300,5.15,7,7200
NIFTY,02-Dec-2025,24600,26090.7,1,0,0,0,375,1555.95,1584.85,75,2443,15,17.09,6.45,450,6.4,6.5,600
NIFTY,02-Dec-2025,24650,26090.7,0,0,0,0,750,1502.6,1530.4,75,194,-49,16.79,6.85,450,6.75,6.9,525
NIFTY,02-Dec-2025,24700,26090.7,6,0,0,0,750,1454.15,1479.95,75,1678,163,16.35,7.15,300,7,7.1,600
NIFTY,02-Dec-2025,24750,26090.7,0,0,0,0,750,1404.2,1437.7,75,629,307,16.11,7.75,750,7.65,7.7,300
NIFTY,02-Dec-2025,24800,26090.7,4,0,0,0,375,1357.15,1387.25,75,2990,138,15.74,8.1,150,8.05,8.1,225
NIFTY,02-Dec-2025,24850,26090.7,1,0,0,0,375,1307.25,1333.45,75,770,-9,15.48,8.8,1650,8.75,8.85,300
NIFTY,02-Dec-2025,24900,26090.7,25,0,0,0,75,1258.7,1288.45,75,2352,208,15.1,9.25,825,9.2,9.25,975
NIFTY,02-Dec-2025,24950,26090.7,1,0,0,0,750,1207.65,1240.45,75,620,1,14.87,10.1,825,10.2,10.35,600
NIFTY,02-Dec-2025,25000,26090.7,491,10,10.77,1161.15,75,1168.95,1174.25,75,7079,-56,14.72,11.15,975,11.1,11.15,750
NIFTY,02-Dec-2025,25050,26090.65,2,0,0,0,375,1113.2,1143.1,75,607,-5,14.23,11.85,375,11.85,12.05,675
NIFTY,02-Dec-2025,25100,26090.65,138,0,15.35,1088,75,1072.15,1080.7,75,2724,28,14.04,13.35,375,13.25,13.35,1350
NIFTY,02-Dec-2025,25150,26090.7,8,0,0,0,375,1006.95,1046.1,75,1141,13,13.83,14.65,225,14.5,14.65,300
NIFTY,02-Dec-2025,25200,26090.7,205,0,0,0,900,971.45,988.2,75,4943,-62,13.51,16.25,675,16.2,16.3,1050
NIFTY,02-Dec-2025,25250,26090.7,3,0,0,0,750,913.55,948.05,300,1061,18,13.3,18.15,225,18.05,18.15,300
NIFTY,02-Dec-2025,25300,26090.7,301,0,11.73,887,1125,882,884.8,75,5753,231,13.07,20.45,225,20.4,20.5,1200
NIFTY,02-Dec-2025,25350,26090.7,33,0,0,831,75,833.95,840.3,75,823,22,12.85,23.1,75,22.9,23.05,225
NIFTY,02-Dec-2025,25400,26090.7,630,0,12.09,796.55,75,786.8,792.3,75,6434,-69,12.64,26.1,525,26,26.1,1050
NIFTY,02-Dec-2025,25450,26090.7,27,0,0,0,75,730.75,759.15,75,1031,-2,12.49,29.8,150,29.75,29.9,450
NIFTY,02-Dec-2025,25500,26090.7,2047,-3,11.58,699,150,696.4,698.8,150,7388,138,12.3,34.15,825,33.8,34,1800
NIFTY,02-Dec-2025,25550,26090.7,45,0,0,0,750,636.65,663,75,1289,-94,12.13,39.3,75,39.05,39.2,525
NIFTY,02-Dec-2025,25600,26090.7,1217,-35,11.54,612.15,75,607.2,609,225,5209,-274,12.02,44.6,225,44.4,44.55,525
NIFTY,02-Dec-2025,25650,26090.7,72,0,10.94,571,75,564.25,567.5,75,1511,-65,11.84,51.6,375,51.2,51.4,600
NIFTY,02-Dec-2025,25700,26090.7,1361,121,11.29,523,75,521.6,523.45,150,5221,-72,11.72,59,375,58.7,58.9,525
NIFTY,02-Dec-2025,25750,26090.7,296,9,11.13,483,75,481.3,483,225,2128,-96,11.6,68.15,375,67.75,67.95,150
NIFTY,02-Dec-2025,25800,26090.7,2430,41,10.9,441.5,225,442.6,443.75,75,8109,46,11.49,77.6,225,77.6,77.75,450
NIFTY,02-Dec-2025,25850,26090.7,751,-32,10.99,405.35,300,403.55,405.5,375,2388,-292,11.38,89.2,225,89,89.2,300
NIFTY,02-Dec-2025,25900,26090.7,4368,-19,10.97,368.7,75,367.3,368.25,75,8320,-188,11.27,102.25,150,102,102.15,150
NIFTY,02-Dec-2025,25950,26090.7,1921,-29,10.79,332.5,75,333.05,334.05,75,2534,-90,11.17,117.05,75,116.45,116.65,225
NIFTY,02-Dec-2025,26000,26090.65,19232,-94,10.54,298.3,450,298.6,299.1,75,20112,856,11.09,133.3,75,133.15,133.3,300
NIFTY,02-Dec-2025,26050,26090.7,1695,249,10.63,267.6,150,267.9,268.55,225,1439,52,11,151.5,300,150.65,151,525
NIFTY,02-Dec-2025,26100,26090.7,10405,1117,10.66,238,825,237.5,238.05,225,8121,777,10.93,171.85,300,171.3,171.7,525
NIFTY,02-Dec-2025,26150,26090.7,1886,273,10.56,209.55,675,209.75,210.35,675,1505,584,10.88,193.75,75,192.85,193.25,225
NIFTY,02-Dec-2025,26200,26090.7,15140,1309,10.56,184.8,600,184.95,185.35,450,4126,313,10.82,217.55,375,216.5,217.1,525
NIFTY,02-Dec-2025,26250,26090.7,1502,196,10.38,160.25,975,160.3,160.7,75,274,56,10.67,243.35,150,242.35,243,225
NIFTY,02-Dec-2025,26300,26090.7,8638,547,10.38,139.05,825,138.7,139.05,150,1295,82,10.64,271.25,375,270.4,271.1,150
NIFTY,02-Dec-2025,26350,26090.7,2007,351,10.29,118.55,75,118.35,118.65,450,213,37,10.57,295.9,75,301.05,301.9,150
NIFTY,02-Dec-2025,26400,26090.7,4458,172,10.26,100.6,300,101,101.25,450,542,47,10.48,335,225,332.05,333.45,150
NIFTY,02-Dec-2025,26450,26090.7,1485,312,10.19,85.15,75,85.05,85.25,225,237,148,10.26,364.85,150,366.3,367.95,150
NIFTY,02-Dec-2025,26500,26090.7,13265,113,10.15,71.3,300,71.4,71.6,1200,1836,0,10.45,405.05,150,402.15,403.95,300
NIFTY,02-Dec-2025,26550,26090.7,1636,444,10.08,59.25,300,59.3,59.45,300,16,3,10.57,448.5,225,441,442.9,75
NIFTY,02-Dec-2025,26600,26090.7,5472,1012,10.05,48.95,825,49.05,49.15,225,705,4,10.48,479.2,75,479.05,480.95,75
NIFTY,02-Dec-2025,26650,26090.7,1403,86,10.05,40,300,40.25,40.35,450,6,0,0,0,150,508.25,532.4,75
NIFTY,02-Dec-2025,26700,26090.7,4520,430,10.01,32.9,825,32.8,32.9,150,90,80,10.15,563,300,563,565.85,75
NIFTY,02-Dec-2025,26750,26090.7,1848,-269,10.03,26.7,300,26.7,26.8,375,4,0,0,0,375,593.75,623.35,75
NIFTY,02-Dec-2025,26800,26090.7,6625,-7,10.04,21.65,450,21.65,21.75,300,18,5,10.16,657,75,652.05,655,300
NIFTY,02-Dec-2025,26850,26090.7,1042,98,10.06,17.5,375,17.4,17.55,225,3,1,12.26,697.9,75,694.2,702.3,75
NIFTY,02-Dec-2025,26900,26090.7,3132,357,10.1,14.25,300,14.2,14.25,450,1,0,11.1,741.95,75,744.05,747,75
NIFTY,02-Dec-2025,26950,26090.7,189,37,10.2,11.7,375,11.6,11.8,375,0,0,0,0,375,778.3,809.75,375
NIFTY,02-Dec-2025,27000,26090.7,10752,596,10.3,9.6,26625,9.5,9.6,1200,82,0,10.29,836.3,75,838.35,843.5,75
NIFTY,02-Dec-2025,27050,26090.65,1542,5,10.32,7.55,300,7.6,7.7,225,1,0,0,0,375,874.55,906.35,750
NIFTY,02-Dec-2025,27100,26090.7,2998,98,10.41,6.35,675,6.3,6.4,225,1,0,0,0,375,921.75,956.5,750
NIFTY,02-Dec-2025,27150,26090.7,321,-37,10.59,5.55,150,5.35,5.5,300,0,0,0,0,375,970.95,1000,75
NIFTY,02-Dec-2025,27200,26090.65,4754,-66,10.77,4.65,300,4.6,4.65,825,1,0,0,0,375,1019.65,1050.05,75
NIFTY,02-Dec-2025,27250,26090.7,275,-1,10.9,3.9,375,3.8,3.9,225,3,0,0,0,375,1068.9,1100.9,75
NIFTY,02-Dec-2025,27300,26090.7,1618,-16,11.01,3.3,525,3.25,3.35,300,1,0,0,0,375,1118.7,1150.55,75
NIFTY,02-Dec-2025,27350,26090.7,236,0,0,3.05,225,2.55,3,300,0,0,0,0,750,1166.95,1200.05,75
NIFTY,02-Dec-2025,27400,26090.7,4796,10,11.26,2.25,225,2.2,2.35,225,1,0,0,0,375,1216.85,1249.8,75
NIFTY,02-Dec-2025,27450,26090.7,481,0,0,0,450,1.85,2.35,450,0,0,0,0,375,1265.9,1299.7,750
NIFTY,02-Dec-2025,27500,26090.65,4403,-28,11.8,2,7650,1.95,2,13800,4,0,0,1300,150,1324.1,1337.85,75
NIFTY,02-Dec-2025,27550,26090.7,466,0,11.96,1.8,6600,1.55,2,6900,0,0,0,0,375,1366.1,1398.85,75
NIFTY,02-Dec-2025,27600,26090.65,1796,21,12.34,1.75,675,1.65,1.75,375,0,0,0,0,750,1415.7,1448.7,75
NIFTY,02-Dec-2025,27650,26090.7,448,0,12.61,1.7,375,1.55,1.7,5175,1,0,0,0,375,1466.1,1499.4,375
NIFTY,02-Dec-2025,27700,26090.7,1076,104,12.93,1.65,675,1.55,1.7,1275,0,0,0,0,750,1515.4,1546.85,75
NIFTY,02-Dec-2025,27750,26090.7,493,6,13.19,1.55,375,1.45,1.55,1575,0,0,0,0,750,1558.05,1602.1,750
NIFTY,02-Dec-2025,27800,26090.65,1871,106,13.49,1.45,3450,1.5,1.55,7575,1,0,0,0,750,1609.55,1653.8,750
NIFTY,09-Dec-2025,23750,26090.7,1,0,0,0,75,2411,2478.7,75,148,0,20.65,7.45,600,5.3,7.45,225
NIFTY,09-Dec-2025,23800,26090.7,1,0,0,0,75,2362.1,2428.65,75,142,0,0,0,1800,5.2,8.45,75
NIFTY,09-Dec-2025,23850,26090.7,2,0,0,0,75,2314.75,2380.6,75,1,0,0,0,75,3.35,20.9,75
NIFTY,09-Dec-2025,23900,26090.7,1,0,0,0,75,2265.85,2330.6,75,0,0,0,0,75,0.05,17.75,75
NIFTY,09-Dec-2025,23950,26090.7,0,0,0,0,75,2214.7,2277.75,75,0,0,0,0,300,0.05,18.55,75
NIFTY,09-Dec-2025,24000,26090.7,1,0,0,0,75,2166.6,2228.65,75,374,0,0,0,225,5.9,8.9,600
NIFTY,09-Dec-2025,24050,26090.7,1,0,0,0,75,2117.65,2178,75,0,0,0,0,75,0.05,18.85,75
NIFTY,09-Dec-2025,24100,26090.7,0,0,0,0,75,2068.6,2128.4,75,0,0,0,0,75,1.1,22.4,75
NIFTY,09-Dec-2025,24150,26090.7,1,0,0,0,75,2020.15,2078.55,75,9,0,0,0,300,4.5,12.2,300
NIFTY,09-Dec-2025,24200,26090.7,0,0,0,0,75,1973.55,2031.65,75,245,0,0,0,75,6,8.75,75
NIFTY,09-Dec-2025,24250,26090.7,0,0,0,0,75,1924.15,1981.05,75,25,0,0,0,1500,5.3,21.7,75
NIFTY,09-Dec-2025,24300,26090.7,0,0,0,0,75,1873.85,1929.1,75,33,0,0,0,75,5.65,20.85,75
NIFTY,09-Dec-2025,24350,26090.7,0,0,0,0,75,1825.1,1879.4,75,14,0,0,0,75,5.65,13.55,75
NIFTY,09-Dec-2025,24400,26090.7,0,0,0,0,75,1776.6,1829.5,75,148,0,0,0,225,7.7,12,75
NIFTY,09-Dec-2025,24450,26090.65,1,0,0,0,75,1728,1779.85,75,11,0,0,0,225,6.6,14.4,900
NIFTY,09-Dec-2025,24500,26090.65,1,0,0,0,150,1698,1715.95,75,1044,1,16.04,11.1,150,11.1,11.35,150
NIFTY,09-Dec-2025,24550,26090.65,1,0,0,0,75,1632.35,1682.4,75,17,0,0,0,300,10.6,16.1,300
NIFTY,09-Dec-2025,24600,26090.65,1,0,0,0,75,1583.85,1632.75,75,107,0,0,0,375,11.75,20.15,300
NIFTY,09-Dec-2025,24650,26090.7,1,0,0,0,75,1534.4,1581.65,75,36,0,0,0,225,10.4,15.8,75
NIFTY,09-Dec-2025,24700,26090.7,1,0,0,0,150,1459.85,1563.2,150,155,0,15.02,14,450,13.65,15.05,450
NIFTY,09-Dec-2025,24750,26090.7,1,0,0,0,150,1411.35,1514.2,150,58,0,0,0,450,14.85,16.2,450
NIFTY,09-Dec-2025,24800,26090.7,0,0,0,0,75,1389.2,1432.7,75,449,13,14.49,15.8,300,15.75,16.35,75
NIFTY,09-Dec-2025,24850,26090.7,1,0,0,0,225,1314.55,1407.45,150,120,0,0,0,450,17.1,18.2,450
NIFTY,09-Dec-2025,24900,26090.7,3,0,0,0,75,1282.35,1336.9,75,340,3,14.14,18.95,75,18.55,19.15,75
NIFTY,09-Dec-2025,24950,26090.65,2,0,0,0,75,1247.75,1288.15,75,124,-2,13.99,20.9,150,20.35,21,75
NIFTY,09-Dec-2025,25000,26090.7,28,0,0,0,225,1212,1227.95,75,2107,-61,13.76,22.3,450,22.2,22.3,75
NIFTY,09-Dec-2025,25050,26090.7,0,0,0,0,225,1123.6,1471.05,1725,143,-2,13.57,24.7,450,23.9,24.55,225
NIFTY,09-Dec-2025,25100,26090.7,3,0,0,0,375,1106.1,1147.6,300,828,-7,13.39,26.95,75,26.55,26.95,75
NIFTY,09-Dec-2025,25150,26090.7,1,0,0,0,75,1058.65,1093.75,75,104,0,0,0,450,28.95,29.95,450
NIFTY,09-Dec-2025,25200,26090.7,41,0,0,0,900,1010.95,1053.8,75,909,12,13.01,33.4,450,31.75,32.3,75
NIFTY,09-Dec-2025,25250,26090.7,0,0,0,0,75,968.3,999.95,75,109,0,13,36.05,450,35.25,36.05,150
NIFTY,09-Dec-2025,25300,26090.7,50,0,0,0,900,924.05,958.85,75,662,-7,12.8,39.85,75,38.95,39.55,75
NIFTY,09-Dec-2025,25350,26090.65,8,0,0,0,75,877.15,913.45,75,127,0,12.69,43.8,150,43.25,43.85,75
NIFTY,09-Dec-2025,25400,26090.65,41,0,0,0,450,826.2,857.9,75,871,-13,12.5,47.65,75,48.1,48.7,75
NIFTY,09-Dec-2025,25450,26090.7,6,0,0,0,75,784.6,827.3,75,114,0,12.47,54.5,75,53.85,54.65,75
NIFTY,09-Dec-2025,25500,26090.7,160,0,10.86,758.25,75,757.2,764.65,75,1178,-7,12.36,59.9,75,59.8,60.2,75
NIFTY,09-Dec-2025,25550,26090.7,22,0,0,0,900,694.95,735.85,450,207,-4,12.12,69.15,300,67,67.75,225
NIFTY,09-Dec-2025,25600,26090.7,100,-1,10.87,680,75,671.2,677.75,75,670,-18,12.04,74.7,75,74.25,75.05,225
NIFTY,09-Dec-2025,25650,26090.7,19,0,0,0,375,621.55,643.75,75,187,3,11.93,83.1,75,83.6,84.35,75
NIFTY,09-Dec-2025,25700,26090.7,231,0,0,0,75,587.35,599.5,150,794,42,11.86,92.4,75,92.6,93.3,75
NIFTY,09-Dec-2025,25750,26090.7,73,0,11.01,562.95,75,549.9,557.6,75,199,-1,11.65,103.85,75,103.65,104.85,150
NIFTY,09-Dec-2025,25800,26090.65,309,-2,10.93,515,75,514.2,518.1,75,742,5,11.73,116.85,75,115.3,116.25,375
NIFTY,09-Dec-2025,25850,26090.7,55,-9,10.84,486.15,75,475.25,482.35,75,163,0,11.6,129,75,127.9,129.15,225
NIFTY,09-Dec-2025,25900,26090.7,582,-41,10.81,447.4,75,442.5,445.25,75,1166,30,11.58,142.45,75,142.15,142.75,75
NIFTY,09-Dec-2025,25950,26090.7,275,-4,10.96,420,75,406.15,411.2,75,236,8,11.45,157.75,75,157.75,158.9,150
NIFTY,09-Dec-2025,26000,26090.7,2432,55,10.6,378.05,75,376.9,378.55,300,2381,135,11.43,173.7,225,173.1,173.9,225
NIFTY,09-Dec-2025,26050,26090.7,235,-9,10.65,346.8,75,345.5,347.25,150,148,7,11.28,187.9,75,192.05,193.3,150
NIFTY,09-Dec-2025,26100,26090.7,938,178,10.53,317,525,315.65,317,225,420,28,11.28,212.35,150,210.4,211.55,75
NIFTY,09-Dec-2025,26150,26090.7,315,14,10.61,285.05,75,286.1,287.5,75,83,7,11.33,235.3,225,231.75,233.6,150
NIFTY,09-Dec-2025,26200,26090.7,863,38,10.49,259,75,258.15,259.65,75,296,35,11.23,254.35,675,254.5,255.85,525
NIFTY,09-Dec-2025,26250,26090.7,216,3,10.4,234,75,232.5,233.75,75,17,0,0,276.95,150,278.05,279.7,75
NIFTY,09-Dec-2025,26300,26090.7,822,-55,10.36,207.65,375,207.75,209,375,243,42,11.1,306.5,225,303.65,305.2,75
NIFTY,09-Dec-2025,26350,26090.7,198,-6,10.3,184.9,75,185.75,186.65,75,6,1,10.94,325.95,75,329.5,334.3,75
NIFTY,09-Dec-2025,26400,26090.7,513,8,10.21,164.95,150,164.15,165.55,75,32,3,11.32,358.35,75,360,361.6,150
NIFTY,09-Dec-2025,26450,26090.7,76,5,10.2,143.55,150,145.3,146.4,75,5,0,0,394.1,75,389.75,392.9,300
NIFTY,09-Dec-2025,26500,26090.65,2542,-74,10.1,128.4,750,128.85,129.6,675,232,11,11.22,428.05,75,422.65,425.75,75
NIFTY,09-Dec-2025,26550,26090.7,87,22,10.07,111.05,300,111.45,112.5,150,3,1,10.79,449.35,75,454.35,459.5,75
NIFTY,09-Dec-2025,26600,26090.7,950,12,10.04,98.1,525,97.25,98.2,75,4,0,0,0,75,478,503.05,150
NIFTY,09-Dec-2025,26650,26090.7,231,18,10,83.65,75,83.65,84.55,75,1,0,0,0,150,513.75,544.05,150
NIFTY,09-Dec-2025,26700,26090.7,434,68,9.96,72.4,225,72.15,73,300,2,0,0,0,150,550.2,582.7,150
NIFTY,09-Dec-2025,26750,26090.7,160,3,9.91,62,300,61.55,62.3,75,4,0,0,0,75,595.35,617.65,75
NIFTY,09-Dec-2025,26800,26090.7,898,1,9.92,53.45,75,52.55,53.15,150,8,0,0,0,75,629.45,665.35,75
NIFTY,09-Dec-2025,26850,26090.7,0,0,0,0,375,44.45,76.5,75,3,0,0,0,75,674.3,700.15,75
NIFTY,09-Dec-2025,26900,26090.7,533,12,9.88,38.15,75,37.85,38.15,3075,2,0,0,0,1725,547.85,754,450
NIFTY,09-Dec-2025,26950,26090.7,0,0,0,0,450,31.7,63.3,150,1,0,0,0,75,759.7,788.45,75
NIFTY,09-Dec-2025,27000,26090.7,2302,92,9.91,27.9,375,27.6,28.05,300,12,0,0,0,75,814.05,824,375
NIFTY,09-Dec-2025,27050,26090.65,391,0,9.99,23.85,75,22.55,23.3,75,1,0,0,0,75,847.5,879.05,75
NIFTY,09-Dec-2025,27100,26090.65,0,0,0,0,450,18.95,47.15,75,1,0,0,0,75,895.05,928.05,75
NIFTY,09-Dec-2025,27150,26090.65,0,0,0,0,450,16.1,42.55,75,0,0,0,0,75,940.3,974.8,75
NIFTY,09-Dec-2025,27200,26090.7,237,-1,10.15,15.25,600,14.35,15.3,150,1,0,0,0,75,987.05,1022.9,75
NIFTY,09-Dec-2025,27250,26090.7,42,0,10.28,13.5,450,12.25,13.4,450,2,0,0,0,1725,817.65,1103.3,225
NIFTY,09-Dec-2025,27300,26090.7,399,3,10.16,10.9,300,10.2,11.5,75,1,0,0,0,75,1081.4,1119.95,75
NIFTY,09-Dec-2025,27350,26090.7,149,0,0,0,600,8.5,11.3,600,0,0,0,0,75,1128.95,1168.75,75
NIFTY,09-Dec-2025,27400,26090.7,0,0,0,0,75,2.55,21.2,75,0,0,0,0,75,1176.95,1218.1,75
NIFTY,09-Dec-2025,27450,26090.65,0,0,0,0,75,5.65,16.8,75,0,0,0,0,75,1227,1269,75
NIFTY,09-Dec-2025,27500,26090.7,870,3,10.66,7.05,75,6.35,7.25,750,16,0,0,0,75,1284.05,1303.95,75
NIFTY,09-Dec-2025,27550,26090.7,0,0,0,0,75,2.25,9.1,75,0,0,0,0,75,1321.75,1380.95,75
NIFTY,09-Dec-2025,27600,26090.7,36,0,0,0,150,3.6,5.5,600,0,0,0,0,75,1355.35,1429.7,75
NIFTY,09-Dec-2025,27650,26090.65,39,0,0,0,225,4.2,6.85,900,0,0,0,0,75,1403.8,1466.1,75
NIFTY,09-Dec-2025,27700,26090.7,4,0,11.87,5.9,600,2.25,7.8,75,0,0,0,0,75,1453.15,1516,75
NIFTY,09-Dec-2025,27750,26090.7,0,0,0,0,75,0.35,6.8,75,0,0,0,0,75,1516.4,1565.9,75
NIFTY,09-Dec-2025,27800,26090.7,0,0,0,0,75,0.35,6.8,75,0,0,0,0,75,1567.2,1617.5,75
NIFTY,16-Dec-2025,23950,26090.7,0,0,0,0,1725,1903.6,2621.35,1725,0,0,0,0,75,0.05,19.4,75
NIFTY,16-Dec-2025,24000,26090.7,0,0,0,0,1725,1859.5,2635.35,75,125,0,17.35,10.95,600,8.35,13.2,600
NIFTY,16-Dec-2025,24050,26090.7,0,0,0,0,1725,1814.55,2514.75,1725,0,0,0,0,75,0.05,24.1,75
NIFTY,16-Dec-2025,24100,26090.7,0,0,0,0,1725,1762.3,2458.5,1725,0,0,0,0,75,2.15,23.95,75
NIFTY,16-Dec-2025,24150,26090.7,0,0,0,0,1725,1717.5,2473.7,1725,0,0,0,0,75,2.3,27.65,75
NIFTY,16-Dec-2025,24200,26090.7,0,0,0,0,1800,1662.05,2413.05,1725,0,0,0,0,225,6,24.95,75
NIFTY,16-Dec-2025,24250,26090.7,0,0,0,0,75,1618.6,2308.7,75,0,0,0,0,300,2.1,30.15,75
NIFTY,16-Dec-2025,24300,26090.7,0,0,0,0,1725,1591.8,2244.35,75,0,0,0,0,75,2.05,27.95,75
NIFTY,16-Dec-2025,24350,26090.7,0,0,0,0,1725,1545.85,2264.2,1725,0,0,0,0,150,2.1,28.95,75
NIFTY,16-Dec-2025,24400,26090.7,0,0,0,0,1725,1503.5,2152.15,1725,0,0,0,0,225,8.1,33.95,75
NIFTY,16-Dec-2025,24450,26090.7,0,0,0,0,75,1443.05,2092.05,1725,0,0,0,0,75,3.65,31.9,900
NIFTY,16-Dec-2025,24500,26090.7,0,0,0,0,75,1413.65,2098.3,1725,148,0,14.72,14.95,150,15.55,16.9,750
NIFTY,16-Dec-2025,24550,26090.7,0,0,0,0,75,1346.15,2028.25,1725,0,0,0,0,0,0,36.3,900
NIFTY,16-Dec-2025,24600,26090.7,0,0,0,0,1725,1324.25,1980.65,1725,45,0,0,0,150,14.75,23.9,75
NIFTY,16-Dec-2025,24650,26090.7,0,0,0,0,1725,1268.3,1922,1725,50,0,0,0,300,14.75,28.15,300
NIFTY,16-Dec-2025,24700,26090.7,0,0,0,0,75,1214.2,1828.7,1725,32,5,14.35,21.95,75,17.85,26.8,300
NIFTY,16-Dec-2025,24750,26090.7,0,0,0,0,75,1192.15,1763.3,1725,1,0,0,0,75,16.8,32.35,900
NIFTY,16-Dec-2025,24800,26090.7,0,0,0,0,1725,1146.55,1714.05,1725,15,0,0,0,150,20.6,30.2,150
