symbol,expiryDate,strikePrice,underlying,CE_OI,CE_CHGOI,CE_IV,CE_LTP,CE_BIDQTY,CE_BID,CE_ASK,CE_ASKQTY,PE_OI,PE_CHGOI,PE_IV,PE_LTP,PE_BIDQTY,PE_BID,PE_ASK,PE_ASKQTY
NIFTY,02-Dec-2025,23750,26074.45,9,0,0,0,75,2315.7,2344,75,28323,-7656,58.62,0.25,1041450,0.2,0.25,549525
NIFTY,02-Dec-2025,23800,26074.45,10,0,106.14,2303,75,2266.5,2289.7,375,17438,-6117,57.41,0.3,774150,0.25,0.3,346875
NIFTY,02-Dec-2025,23850,26074.45,2,0,0,0,75,2216.7,2284.9,750,1514,432,56.19,0.3,49650,0.25,0.3,43200
NIFTY,02-Dec-2025,23900,26074.45,12,0,0,0,300,2166.55,2234.75,750,2920,-3494,55.85,0.3,700050,0.25,0.3,185100
NIFTY,02-Dec-2025,23950,26074.45,2,0,0,0,750,2113.9,2185.85,825,906,-50,54.62,0.3,6450,0.25,0.3,32550
NIFTY,02-Dec-2025,24000,26074.45,643,-49,0,2086.15,75,2079,2084.95,150,17443,-6497,54.12,0.3,387675,0.3,0.35,590625
NIFTY,02-Dec-2025,24050,26074.45,2,0,0,0,75,2018.5,2083.55,825,771,-502,52.88,0.35,12075,0.3,0.35,8175
NIFTY,02-Dec-2025,24100,26074.45,3,0,0,0,75,1966.5,1998.85,750,1464,-1596,50.93,0.3,58275,0.3,0.35,27525
NIFTY,02-Dec-2025,24150,26074.45,2,0,0,0,750,1914.45,1942.75,150,585,-315,49.7,0.35,12150,0.3,0.35,9300
NIFTY,02-Dec-2025,24200,26074.45,3,0,0,0,75,1865.9,1898.7,750,2775,-31,48.48,0.3,119250,0.3,0.35,119100
NIFTY,02-Dec-2025,24250,26074.45,13,0,80.95,1843,75,1828.25,1836.6,75,1887,-10,47.25,0.4,55200,0.35,0.4,21375
NIFTY,02-Dec-2025,24300,26074.45,11,0,104.18,1837.55,750,1734.65,1784.95,75,3455,-204,46.67,0.4,88725,0.35,0.4,82275
NIFTY,02-Dec-2025,24350,26074.45,10,0,0,0,750,1715,1754.5,750,2226,502,44.8,0.35,61875,0.35,0.4,55725
NIFTY,02-Dec-2025,24400,26074.45,23,0,72.81,1690,75,1680.1,1685.05,75,2814,24,44.19,0.35,61050,0.35,0.4,81075
NIFTY,02-Dec-2025,24450,26074.45,14,0,0,0,150,1617.65,1674.25,750,1780,161,42.94,0.35,38775,0.35,0.4,72450
NIFTY,02-Dec-2025,24500,26074.45,136,-36,0,1585,75,1580.5,1583.9,600,36094,2496,41.7,0.4,723600,0.35,0.4,1137300
NIFTY,02-Dec-2025,24550,26074.45,6,0,0,0,750,1505.3,1553.1,750,3359,289,40.46,0.35,93375,0.35,0.4,137700
NIFTY,02-Dec-2025,24600,26074.45,35,0,53.5,1479.05,75,1473.6,1484.65,75,14764,-2637,39.22,0.35,410325,0.35,0.4,475350
NIFTY,02-Dec-2025,24650,26074.45,8,0,0,0,750,1415.85,1445.1,75,5237,807,38.46,0.4,121800,0.4,0.45,96450
NIFTY,02-Dec-2025,24700,26074.45,27,-1,73.81,1410,75,1376.5,1385.5,75,20592,2453,36.73,0.4,666450,0.35,0.4,739950
NIFTY,02-Dec-2025,24750,26074.45,4,0,0,0,75,1316.7,1358.7,750,11270,7314,35.48,0.4,382725,0.35,0.4,190950
NIFTY,02-Dec-2025,24800,26074.45,126,-1,57.9,1288.3,75,1280.15,1285.6,75,18763,-3048,34.68,0.4,936225,0.35,0.4,393150
NIFTY,02-Dec-2025,24850,26074.45,6,0,0,1200,75,1230.5,1243.45,75,6356,1932,33.42,0.4,135000,0.4,0.45,91200
NIFTY,02-Dec-2025,24900,26074.45,72,-12,34.23,1183,525,1173.65,1185.55,375,12407,-827,32.54,0.45,797475,0.4,0.45,222075
NIFTY,02-Dec-2025,24950,26074.45,8,-1,0,1112.35,75,1130.65,1134.55,75,9826,4311,31.6,0.4,482250,0.4,0.45,154425
NIFTY,02-Dec-2025,25000,26074.45,657,-30,0,1082.5,75,1080.95,1083.95,75,94486,7671,30.61,0.45,2042850,0.45,0.5,1433550
NIFTY,02-Dec-2025,25050,26074.45,7,0,51.45,1045,75,1025.25,1035.55,75,11958,3057,29.01,0.5,306525,0.5,0.55,224175
NIFTY,02-Dec-2025,25100,26074.45,304,1,0,979.05,75,981.05,984.7,300,34928,10184,27.72,0.5,1170975,0.45,0.5,975675
NIFTY,02-Dec-2025,25150,26074.45,82,-1,52.77,956.05,600,927.75,934.45,300,14663,5298,26.69,0.55,211500,0.55,0.6,190425
NIFTY,02-Dec-2025,25200,26074.45,300,-60,30.87,884.4,75,880.65,883.9,300,38494,-5320,25.62,0.65,835275,0.6,0.65,685950
NIFTY,02-Dec-2025,25250,26074.45,105,-23,0,815,300,830.05,834.7,300,16786,3000,24.06,0.65,333450,0.6,0.65,183375
NIFTY,02-Dec-2025,25300,26074.45,382,-101,0,779.3,600,780.4,783.2,75,57211,190,22.73,0.65,1046700,0.6,0.65,1116300
NIFTY,02-Dec-2025,25350,26074.45,65,-47,0,724.25,375,731.1,733.8,300,20471,2492,21.62,0.65,438225,0.6,0.65,276000
NIFTY,02-Dec-2025,25400,26074.45,756,-50,0,687.7,375,681.8,683.9,150,74954,9100,20.27,0.6,1598325,0.6,0.65,1342050
NIFTY,02-Dec-2025,25450,26074.45,195,1,0,613.85,375,631.35,633.85,300,36582,7446,19.1,0.7,669825,0.65,0.7,725625
NIFTY,02-Dec-2025,25500,26074.45,1420,-128,21.46,578.45,75,581.4,582.9,225,144316,28557,17.9,0.75,1696575,0.7,0.75,1945875
NIFTY,02-Dec-2025,25550,26074.45,146,-2,0,534.75,375,531.55,533.55,375,45030,24873,16.79,0.8,841200,0.75,0.8,486225
NIFTY,02-Dec-2025,25600,26074.45,2467,1505,18.67,481.35,75,482.7,483.8,75,89287,10459,15.37,0.85,1428975,0.8,0.85,1617975
NIFTY,02-Dec-2025,25650,26074.45,409,34,16.57,436.25,150,432.15,433.4,375,52832,14078,14.17,0.95,974550,0.9,0.95,824100
NIFTY,02-Dec-2025,25700,26074.45,1942,658,13.57,382.65,150,382.4,383.2,75,107896,28416,12.89,1.05,1741200,1,1.05,1223250
NIFTY,02-Dec-2025,25750,26074.45,873,30,12.12,332.65,75,332.65,333.1,150,63602,25159,11.56,1.15,1219125,1.1,1.15,939450
NIFTY,02-Dec-2025,25800,26074.45,8092,5752,11.96,285.9,150,283.5,284.05,450,131011,42591,10.59,1.45,1268550,1.45,1.5,1349850
