symbol,expiryDate,strikePrice,underlying,CE_OI,CE_CHGOI,CE_IV,CE_LTP,CE_BIDQTY,CE_BID,CE_ASK,CE_ASKQTY,PE_OI,PE_CHGOI,PE_IV,PE_LTP,PE_BIDQTY,PE_BID,PE_ASK,PE_ASKQTY
NIFTY,02-Dec-2025,23750,25789.6,0,0,0,0,75,2169.35,2229.85,75,99,0,18.35,5.65,300,6.05,9.9,300
NIFTY,02-Dec-2025,23800,25789.6,1,0,0,0,1725,1706.9,2497.05,1725,515,-5,18.77,7.65,300,7.65,9.15,75
NIFTY,02-Dec-2025,23850,25789.6,0,0,0,0,75,2071.4,2144.35,75,12,0,0,0,75,6.05,12.95,75
NIFTY,02-Dec-2025,23900,25789.6,1,0,0,0,75,2022.5,2079.8,75,0,0,0,0,75,7.45,9.7,600
NIFTY,02-Dec-2025,23950,25789.6,0,0,0,0,75,1973.65,2029.85,75,0,0,0,0,75,6.55,17.95,75
NIFTY,02-Dec-2025,24000,25789.6,1,0,0,0,75,1917.2,1974.4,225,773,11,17.92,9.85,150,9.85,10.3,375
NIFTY,02-Dec-2025,24050,25789.6,0,0,0,0,75,1875.95,1930.05,75,123,0,18.21,12.4,300,9.85,12.05,300
NIFTY,02-Dec-2025,24100,25789.6,1,0,0,0,75,1814.5,1859.9,75,263,0,0,0,300,9.95,11.55,600
NIFTY,02-Dec-2025,24150,25789.6,0,0,0,0,75,1738.65,1855.75,75,0,0,0,0,300,8.6,16.9,300
NIFTY,02-Dec-2025,24200,25789.6,1,0,0,0,75,1729.45,1760.6,75,113,-26,16.98,10.6,75,11.05,12.15,375
NIFTY,02-Dec-2025,24250,25789.6,1,0,0,0,75,1670.5,1712.3,75,2,0,0,0,75,10.55,14.9,300
NIFTY,02-Dec-2025,24300,25789.6,1,0,0,0,75,1632.25,1661.85,75,299,0,16.31,13.05,75,12.55,13.3,600
NIFTY,02-Dec-2025,24350,25789.6,0,0,0,0,75,1583.7,1631.25,75,0,0,0,0,300,10.7,29.9,300
